method,sc,omc_sc,cov_gap
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.io.xml.AbstractXppDriver.createWriter,50.0,50.0,0.0
com.thoughtworks.xstream.io.StatefulWriter.endNode,100.0,83.33333,16.666672
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter.unmarshal,66.15385,10.769231,55.384617
com.thoughtworks.xstream.converters.SingleValueConverterWrapper.fromString,100.0,100.0,0.0
com.thoughtworks.xstream.mapper.PackageAliasingMapper.realClass,100.0,63.636364,36.363636
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.containsKey,100.0,100.0,0.0
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.remove,88.88889,55.555557,33.333336
com.thoughtworks.xstream.io.path.PathTracker.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.converters.basic.CharConverter.canConvert,100.0,100.0,0.0
com.thoughtworks.xstream.persistence.XmlSet.iterator,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.WeakCache.containsValue,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.SerializationMembers.supportsReadObject,100.0,100.0,0.0
com.thoughtworks.xstream.converters.reflection.SerializableConverter.doMarshal,100.0,33.333336,66.666664
com.thoughtworks.xstream.io.StatefulWriter.close,100.0,66.66667,33.33333
com.thoughtworks.xstream.mapper.DefaultImplementationsMapper.addDefaultImplementation,75.0,50.0,25.0
com.thoughtworks.xstream.io.xml.XppDriver.<init>,100.0,33.333336,66.666664
com.thoughtworks.xstream.io.xml.DomWriter.<init>,70.0,60.000004,9.999996
com.thoughtworks.xstream.persistence.XmlMap.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.io.xml.XppReader.appendErrors,100.0,100.0,0.0
com.thoughtworks.xstream.converters.collections.MapConverter.<init>,80.0,60.000004,19.999996
com.thoughtworks.xstream.mapper.CachingMapper.readResolve,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.getOrCreateMapper,100.0,100.0,0.0
com.thoughtworks.xstream.io.WriterWrapper.setValue,100.0,100.0,0.0
com.thoughtworks.xstream.io.xml.xppdom.XppDom.setAttribute,100.0,100.0,0.0
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.getFile,100.0,100.0,0.0
com.thoughtworks.xstream.converters.extended.JavaClassConverter.fromString,66.66667,33.333336,33.333336
com.thoughtworks.xstream.io.xml.DomReader.getNodeName,100.0,100.0,0.0
com.thoughtworks.xstream.XStream.setupConverters,74.72527,49.45055,25.274723
com.thoughtworks.xstream.io.xml.AbstractPullReader.moveUp,100.0,100.0,0.0
com.thoughtworks.xstream.io.binary.ReaderDepthState.push,100.0,66.66667,33.33333
com.thoughtworks.xstream.io.xml.xppdom.XppDom.getAttributeNames,100.0,100.0,0.0
com.thoughtworks.xstream.io.ReaderWrapper.moveDown,100.0,100.0,0.0
com.thoughtworks.xstream.persistence.XmlArrayList.size,100.0,100.0,0.0
com.thoughtworks.xstream.converters.reflection.SerializableConverter.canConvert,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.HierarchicalStreams.readClassType,100.0,83.33333,16.666672
com.thoughtworks.xstream.mapper.DynamicProxyMapper.realClass,100.0,66.66667,33.33333
com.thoughtworks.xstream.io.StreamException.<init>,66.66667,66.66667,0.0
com.thoughtworks.xstream.core.TreeMarshaller.start,100.0,57.14286,42.85714
com.thoughtworks.xstream.XStream.addImplicitArray,100.0,100.0,0.0
com.thoughtworks.xstream.converters.extended.ToAttributedValueConverter.canConvert,100.0,100.0,0.0
com.thoughtworks.xstream.persistence.XmlArrayList.add,100.0,57.14286,42.85714
com.thoughtworks.xstream.core.util.WeakCache.<init>,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.SerializationMembers.callReadResolve,61.538464,38.46154,23.076923
com.thoughtworks.xstream.io.xml.AbstractDocumentReader.<init>,83.33333,83.33333,0.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.getKeyFieldName,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.FastStack.popSilently,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.Cloneables.cloneIfPossible,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.Base64Encoder.<init>,50.0,50.0,0.0
com.thoughtworks.xstream.io.xml.AbstractDocumentReader.moveUp,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.PrioritizedList.next,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.WeakCache.put,100.0,100.0,0.0
