method,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.converters.SingleValueConverterWrapper.toString,0,1,1
com.thoughtworks.xstream.security.NullPermission.allows,0,1,1
com.thoughtworks.xstream.converters.enums.EnumConverter.canConvert,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.close,0,1,1
com.thoughtworks.xstream.io.path.Path.isAncestor,0,6,6
com.thoughtworks.xstream.io.xml.xppdom.Xpp3Dom.<init>,0,1,1
com.thoughtworks.xstream.converters.extended.NamedCollectionConverter.writeItem,0,9,9
com.thoughtworks.xstream.io.xml.AbstractPullReader.getValue,0,20,20
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.FieldInfo,0,3,3
com.thoughtworks.xstream.mapper.AnnotationMapper.cacheConverter,1,47,48
com.thoughtworks.xstream.converters.reflection.SerializableConverter.defaultReadObject,2,19,21
com.thoughtworks.xstream.converters.ErrorWritingException.get,0,1,1
com.thoughtworks.xstream.io.json.JsonHierarchicalStreamDriver.createReader,2,2,4
com.thoughtworks.xstream.io.xml.TraxSource.setSourceAsList,0,4,4
com.thoughtworks.xstream.core.MapBackedDataHolder.keys,1,0,1
com.thoughtworks.xstream.core.ReferenceByXPathMarshaller.<init>,0,2,2
com.thoughtworks.xstream.io.xml.StaxDriver.createStaxWriter,0,2,2
com.thoughtworks.xstream.converters.reflection.SerializableConverter.close,7,49,56
