method,missed_stmt,covered_stmt,total_stmts
com.fasterxml.jackson.dataformat.xml.XmlMapper._defaultPrettyPrinter,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.hasTextCharacters,0,1,1
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeObjectEntrySeparator,0,0,0
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider._rootNameFromConfig,1,6,7
com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder.typeFromId,1,1,2
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getTokenLocation,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.repeatStartElement,1,5,6
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser._getByteArrayBuilder,0,4,4
com.fasterxml.jackson.dataformat.xml.deser.XmlStringDeserializer.isCachable,0,1,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.setPrettyPrinter,0,3,3
com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser,14,22,36
com.fasterxml.jackson.dataformat.xml.XmlMapper.readValue,1,3,4
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.toFullBuffer,14,0,14
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeRootValueSeparator,1,0,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.isExpectedStartArrayToken,1,9,10
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.isClosed,1,0,1
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeEndObject,1,6,7
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeIndentation,6,8,14
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter.writeArrayValueSeparator,0,0,0
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.skipEndElement,1,2,3
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser.getTextLength,0,2,2
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream.getCurrentLocation,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser._decodeBase64,0,4,4
com.fasterxml.jackson.dataformat.xml.XmlFactory.configure,5,3,8
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.writeBinary,16,21,37
com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLInputFactory,0,1,1
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule.setupModule,0,7,7
com.fasterxml.jackson.dataformat.xml.XmlMapper.getFactory,0,1,1
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.getNamesToWrap,0,1,1
com.fasterxml.jackson.dataformat.xml.XmlFactory.enable,0,4,4
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator.Feature,0,2,2
com.fasterxml.jackson.dataformat.xml.util.StaxUtil.throwAsGenerationException,2,0,2
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext.<init>,0,6,6
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer.withObjectIdWriter,0,1,1
com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector.findNameForDeserialization,0,7,7
